Global Wind Power Tracker - February 2026,,,
Copyright © Global Energy Monitor. Distributed under a Creative Commons Attribution 4.0 International License.,,,
"Recommended Citation: ""Global Energy Monitor, Global Wind Power Tracker, February 2026 release"" (See the CC license for attribution requirements if sharing or adapting the data set.)",,,
"Contact: Janna E. Smith, Project Manager, Global Wind Power tracker (GWPT), Global Energy Monitor - janna.smith@globalenergymonitor.org",,,
Methodology,,,
,,,
February 2026 Release Notes,,,
A new data field has been added to indicate when a project phase has associated storage either planned or existing.,,,
Below threshold data are provided for some countries when the data were readily available.,,,
,,,
Thresholds for Data tab,,,
"Wind farm capacity cut-off, Global",<10 MW not included,,
,,,
Thresholds for Below Threshold tab,,,
"Wind farm capacity cut-off, Global",Projects smaller than 1 MW not included,,
,,,
Definitions,,,
Column,Full Name,Notes,
Status,operating,Commercial operation date achieved,
Status,construction,Equipment installation has begun,
Status,pre-construction,"Projects that are actively moving forward in seeking governmental approvals, land rights, or financing.",
Status,announced,"Projects that have been publicly reported but have not yet moved actively forward by applying for permits or seeking land, material, or financing. Examples: (1) projects are the potential “Phase II” at a location where “Phase I” is currently under pre-construction, (2) Projects that are described in long-range company or governmental planning documents.",
Status,shelved,Suspension of operation has been announced. The status is marked as ‘shelved - inferred 2 y’ if no progress has been observed for at least two years.,
Status,mothballed,Disused but not dismantled,
Status,retired,Dismantled,
Status,cancelled,A cancellation announcement has been made. The status is marked as 'cancelled - inferred 4 y’ if no progress has been observed for at least four years.,
,,,
Columns,,,
Column Name,Units,Definition,Notes
Date Last Researched,yyyy/mm/dd,Date that this project was last researched by the researcher,
Country/Area,n/a,Country/Area the project is located in (Unabbreviated),
Project Name,n/a,Commonly used name,"Preference is for a government provided name. Without that information, the name the owner or operating company uses was taken."
Phase Name,n/a,Common name of the project phase,"Roman numerals are changed to numbers. If the Owner uses non-sequential numbers or other characters, those are used."
Project Name in Local Language / Script,n/a,Commonly used name in the locally used script,Left blank for local languages that use the roman/latin alphabet. Otherwise local name in local script provided if possible.
Other Name(s),n/a,"Alternative names, including the name in local script",
Capacity (MW),MW,"Nameplate capacity, or best available data, of the phase in megawatts",Cut-offs: >=10MW globally
Installation Type,"onshore, offshore hard mount, offshore floating, offshore mount unknown",How the wind turbines are installed,Hard mount vs floating is dependant on the depth of the water.
Status,n/a,see rows 19-26 above,
Start year,yyyy,Year the project is or is expected to be commissioned,Latest date was taken when original data source provided a range; Start years not included for projects that are cancelled or shelved.
Retired year,yyyy,Year the plant is taken offline,
Operator,n/a,The company that operates the project,Company that performs day-to-day operations and maintenance of the project.
Operator Name in Local Language / Script,n/a,Company name that operates the project in the locally used script,Left blank for local languages use the roman/latin alphabet. Otherwise operator name in local script is included if possible.
Owner,n/a,The company that directly owns the plant,
Owner Name in Local Language / Script,n/a,Company name that directly owns the project in the locally used script,Left blank for local languages that use the roman/latin alphabet. Otherwise direct owner name included in local script if possible.
Hydrogen,"True, blank",True if a project phase is dedicated for green hydrogen production,
Associated Storage,"True, blank",True if storage is associated with a project phase,
Latitude,decimal degrees,"Latitude, assumed WGS84 (google maps), of the project phase",
Longitude,decimal degrees,"Longitude, assumed WGS84 (google maps), of the project phase",
Location accuracy,"approximate, exact","Location is Approximate based on using nearest city or other information in data sources, or Location is Exact when explicitly provided in data source",
City,n/a,"City, town, village, or township (China) where project is located",
Local Area,n/a,"County, taluk, or district (China) where project is located",
Major Area,n/a,"Prefecture, district, or municipality (China) where project is located",
State/Province,n/a,Subnational unit where project is located,
Subregion,n/a,Subregion location based on United Nations definition,
Region,n/a,Region location based on United Nations definition,
Other IDs (location),n/a,Location identifier from external dataset,
Other IDs (unit/phase),n/a,Unit or Phase identifier from external dataset,
GEM Location ID,L1+11 digits,GEM generated ID unique for each project,
GEM Phase ID,G1+11 digits,GEM generated ID unique for each phase,
Wiki URL,n/a,URL of existing or planned GEM.wiki page,
